condition,p_coverage,run_id,cascade_fraction,contained,time_to_steady_state
A4,0.0000,0,0.980200,0,18
A4,0.0000,1,0.938200,0,19
A4,0.0000,2,0.938200,0,19
A4,0.0000,3,0.549400,0,21
A4,0.0000,4,0.949200,0,18
A4,0.0000,5,0.411600,0,22
A4,0.0000,6,0.727400,0,21
A4,0.0000,7,0.746400,0,22
A4,0.0000,8,0.938200,0,19
A4,0.0000,9,1.000000,0,15
A4,0.0000,10,0.646000,0,21
A4,0.0000,11,0.995400,0,17
A4,0.0000,12,0.650600,0,22
A4,0.0000,13,1.000000,0,15
A4,0.0000,14,0.662200,0,23
A4,0.0000,15,0.980200,0,18
A4,0.0000,16,0.789800,0,23
A4,0.0000,17,0.998400,0,15
A4,0.0000,18,0.973000,0,16
A4,0.0000,19,0.643400,0,21
A4,0.0000,20,0.999200,0,15
A4,0.0000,21,0.999200,0,15
A4,0.0000,22,0.999200,0,15
A4,0.0000,23,0.241800,0,22
A4,0.0000,24,0.999200,0,15
A4,0.0000,25,0.910200,0,19
A4,0.0000,26,0.998800,0,15
A4,0.0000,27,0.998400,0,15
A4,0.0000,28,0.737200,0,23
A4,0.0000,29,0.949200,0,18
A4,0.0000,30,0.980200,0,18
A4,0.0000,31,0.188000,0,20
A4,0.0000,32,0.727400,0,21
A4,0.0000,33,0.411600,0,22
A4,0.0000,34,0.662200,0,23
A4,0.0000,35,0.241800,0,22
A4,0.0000,36,0.727400,0,21
A4,0.0000,37,0.995400,0,17
A4,0.0000,38,0.980200,0,18
A4,0.0000,39,0.999200,0,15
A4,0.0000,40,0.134400,0,20
A4,0.0000,41,0.980200,0,18
A4,0.0000,42,0.643400,0,21
A4,0.0000,43,0.938200,0,19
A4,0.0000,44,0.967000,0,18
A4,0.0000,45,0.206400,0,21
A4,0.0000,46,0.938200,0,19
A4,0.0000,47,0.995400,0,17
A4,0.0000,48,0.971600,0,18
A4,0.0000,49,0.949200,0,18
A4,0.0000,50,0.949200,0,18
A4,0.0000,51,0.273800,0,21
A4,0.0000,52,0.998800,0,15
A4,0.0000,53,0.350000,0,20
A4,0.0000,54,0.998400,0,15
A4,0.0000,55,0.350000,0,20
A4,0.0000,56,0.967000,0,18
A4,0.0000,57,0.995400,0,17
A4,0.0000,58,0.846200,0,21
A4,0.0000,59,0.999200,0,15
A4,0.0000,60,0.241800,0,22
A4,0.0000,61,0.995400,0,17
A4,0.0000,62,0.910200,0,19
A4,0.0000,63,0.998400,0,15
A4,0.0000,64,0.650600,0,22
A4,0.0000,65,0.789800,0,23
A4,0.0000,66,0.650600,0,22
A4,0.0000,67,0.411600,0,22
A4,0.0000,68,0.477600,0,23
A4,0.0000,69,0.206400,0,21
A4,0.0000,70,0.846200,0,21
A4,0.0000,71,0.999200,0,15
A4,0.0000,72,0.980200,0,18
A4,0.0000,73,1.000000,0,15
A4,0.0000,74,0.451600,0,23
A4,0.0000,75,0.846200,0,21
A4,0.0000,76,0.284600,0,21
A4,0.0000,77,0.910200,0,19
A4,0.0000,78,0.973000,0,16
A4,0.0000,79,0.846200,0,21
A4,0.0000,80,0.197400,0,20
A4,0.0000,81,0.999200,0,15
A4,0.0000,82,0.998800,0,15
A4,0.0000,83,0.312000,0,23
A4,0.0000,84,1.000000,0,15
A4,0.0000,85,1.000000,0,15
A4,0.0000,86,0.855200,0,20
A4,0.0000,87,0.549400,0,21
A4,0.0000,88,0.973000,0,16
A4,0.0000,89,0.999000,0,15
A4,0.0000,90,0.451600,0,23
A4,0.0000,91,1.000000,0,15
A4,0.0000,92,0.855200,0,20
A4,0.0000,93,0.998400,0,15
A4,0.0000,94,0.284600,0,21
A4,0.0000,95,0.613000,0,22
A4,0.0000,96,0.998400,0,15
A4,0.0000,97,1.000000,0,15
A4,0.0000,98,0.999200,0,15
A4,0.0000,99,0.241800,0,22
A4,0.0200,0,0.235400,0,201
